_id,photoUrl,userBarcode,dateCreated,coloniesCountAtThisTime,IsValid,X,Y,ROI,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd,ColorName,NumberOfColoniesThisColor,Rarity
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3629.9,2218.54,1,1,14391,69,58,199,236.792,231.847,109.039,36.7262,34.4658,19.8519,yellowish,1,0.001919385796545105
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3095.87,658.854,1,1,17328,74,330,151,219.224,115.245,168.046,30.3487,5.76764,6.0317,pale magenta,11,0.02111324376199616
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2799.87,2265.45,1,1,14643,71,326,126,209.023,118.664,171.165,50.0173,8.87087,4.60321,pale magenta,11,0.02111324376199616
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2868.55,569.131,1,5,10101,67,322,101,194.905,115.892,167.275,18.4822,4.18728,3.51658,pale magenta,11,0.02111324376199616
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3706.89,1334.73,1,6,4877,49,76,134,188.747,213.502,122.632,32.5938,26.0818,12.9969,greenish tan,33,0.06333973128598848
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2634.5,2051,1,3,17919,80,72,181,217.361,235.609,143.478,27.0628,21.5971,8.717,light khaki,39,0.07485604606525911
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2623.53,1221.38,1,1,21393,83,70,179,222.175,237.205,151.917,38.3009,29.8417,8.38234,light khaki,39,0.07485604606525911
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3623.91,1350.17,1,6,2781,35,334,120,210.356,130.42,163.66,39.6841,9.05843,5.18014,dull pink,43,0.08253358925143954
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3281.95,1129.21,1,4,12844,66,330,153,222.398,123.375,172.94,36.4821,6.9502,3.86039,dull pink,43,0.08253358925143954
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3244.36,1519.54,1,1,9185,55,326,122,212.106,132.869,177.284,35.7427,5.74157,4.17524,dull pink,43,0.08253358925143954
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3700.6,1961.7,1,1,14338,68,332,134,209.881,110.492,157.042,42.6075,8.97979,6.90318,muted pink,51,0.09788867562380038
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3576.38,766.471,1,3,9777,61,330,127,207.24,111.504,157.776,26.2231,4.64456,6.29297,muted pink,51,0.09788867562380038
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3527.5,1401.5,1,1,5825,43,340,155,225.549,135.775,166.327,33.9876,9.5873,4.37284,pig pink,70,0.1343570057581574
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2899.33,1807.36,1,1,6937,51,338,194,239.668,145.012,179.499,23.9099,4.69634,3.12965,pig pink,70,0.1343570057581574
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3631.41,784.585,1,3,2266,32,10,55,183.448,150.248,143.168,21.3257,38.7001,10.9622,mushroom,97,0.1861804222648752
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2698.5,1828.5,1,4,2980,39,158,123,198.329,235.415,221.413,16.2736,7.90568,9.43615,light grey,111,0.2130518234165067
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2476.72,1539.1,1,1,6649,51,322,92,199.559,137.516,178.264,22.4688,4.86403,3.03565,light mauve,114,0.218809980806142
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2391.66,878.669,1,1,19318,83,322,74,188.637,135.118,170,26.4972,8.08389,4.87566,light mauve,114,0.218809980806142
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2710.65,1482.43,1,1,14681,70,266,64,157.3,135.567,183.776,15.8359,4.49189,3.34665,heather,133,0.255278310940499
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3680,1591.5,1,2,8557,55,76,124,192.639,212.554,133.183,37.7723,31.1311,14.8195,pale olive,147,0.2821497120921305
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3686.09,803.17,1,3,9147,57,74,108,184.72,202.584,127.307,25.4689,20.3832,15.0788,pale olive,147,0.2821497120921305
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2656.07,1902.02,1,1,3356,33,6,31,190.563,175.489,172.666,10.3971,3.99983,3.62625,pinkish grey,174,0.3339731285988484
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3428.5,1415,1,3,6231,46,306,65,179.913,129.074,175.289,17.3666,5.12323,4.36674,dusty lavender,186,0.3570057581573896
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3468.84,1570.62,1,1,4716,40,302,42,172.331,139.116,170.665,15.9062,4.64637,3.84282,dusty lavender,186,0.3570057581573896
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3976.89,1381.28,1,1,5863,44,190,42,114.293,146.835,153.878,5.64438,4.33815,4.19341,bluish grey,206,0.3953934740882917
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2998.69,1794.45,1,1,7853,51,168,114,186.604,229.313,219.7,25.9586,14.8662,12.0994,light blue grey,212,0.4069097888675624
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3083.42,1939.25,1,18,7684,57,92,113,189.432,218.532,161.65,21.3592,19.227,7.89199,light grey green,214,0.4107485604606526
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2920.88,1970.02,1,1,13866,66,116,56,167.657,198.146,166.207,18.5941,16.8385,6.17809,light grey green,214,0.4107485604606526
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2721.12,1740.46,1,2,4792,41,120,57,169.534,201.481,170.068,20.0402,17.1113,6.39293,light grey green,214,0.4107485604606526
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3251.28,2303.62,1,14,7857,62,108,73,167.025,200.513,157.615,17.0091,19.8086,4.36903,light grey green,214,0.4107485604606526
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3585.35,1290.71,1,6,6532,48,188,35,134.881,159.642,163.977,8.07288,6.27711,5.02609,bluey grey,228,0.4376199616122841
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,2514.43,986.636,1,1,14130,69,180,38,138.536,169.016,168.514,9.78464,8.80911,5.42557,bluey grey,228,0.4376199616122841
yoRjmPxGxFDsLjYZh,photos/1412805195401_6263830.jpg,99000003035555809765,1412804970589,521,1,3379.3,794.1,1,1,17516,75,186,36,128.954,156.901,159.605,14.0863,13.9743,6.87113,bluey grey,228,0.4376199616122841
